iter	RMSE
0	11650.22319
1	11218.17216
2	10822.98697
3	10429.15812
4	10082.43812
5	9744.774326
6	9415.719493
7	9110.300855
8	8824.988841
9	8568.538376
10	8298.165552
11	8071.896095
12	7840.043641
13	7641.059012
14	7446.632913
15	7240.866277
16	7056.901517
17	6879.395291
18	6709.446085
19	6544.149322
20	6394.782605
21	6257.595242
22	6130.829052
23	6001.085567
24	5884.487115
25	5775.599093
26	5674.342836
27	5576.183843
28	5487.046143
29	5403.023082
30	5328.402954
31	5260.68492
32	5187.172564
33	5119.634106
34	5057.948831
35	5003.961015
36	4950.593378
37	4900.120086
38	4856.309588
39	4811.818158
40	4770.639279
41	4734.697889
42	4700.820293
43	4665.398668
44	4635.543804
45	4604.676832
46	4575.174896
47	4548.960284
48	4527.680402
49	4501.361005
50	4474.692936
51	4450.664639
52	4427.670964
53	4410.06811
54	4389.511074
55	4368.483981
56	4352.30457
57	4336.146895
58	4325.446629
59	4313.400369
60	4299.24762
61	4286.009653
62	4273.652294
63	4263.682557
64	4248.054324
65	4237.786471
66	4232.067179
67	4223.23994
68	4213.971026
69	4205.084729
70	4194.497779
71	4186.667369
72	4178.766476
73	4168.665086
74	4167.122275
75	4160.526031
76	4152.503873
77	4145.879933
78	4137.70103
79	4132.20639
80	4125.269251
81	4117.028687
82	4110.876351
83	4105.034729
84	4098.69299
85	4090.812066
86	4083.878404
87	4077.879496
88	4073.200014
89	4066.980682
90	4063.908598
91	4058.900206
92	4054.896117
93	4052.101538
94	4048.948387
95	4039.921698
96	4033.00205
97	4028.825455
98	4022.820594
99	4019.013279
100	4016.206666
101	4008.341311
102	4002.674459
103	3999.434554
104	3995.034244
105	3990.857312
106	3988.319961
107	3986.383568
108	3983.052648
109	3980.013918
110	3974.232776
111	3968.670533
112	3963.701176
113	3958.655792
114	3954.47463
115	3950.303777
116	3943.999738
117	3937.631106
118	3931.089448
119	3929.987063
120	3928.172957
121	3922.424921
122	3918.366001
123	3917.529902
124	3915.58507
125	3906.47639
126	3904.033722
127	3901.475052
128	3898.143962
129	3895.193121
130	3891.015268
131	3882.447658
132	3879.877037
133	3876.168148
134	3872.225871
135	3869.083567
136	3863.405574
137	3860.766457
138	3859.207944
139	3855.082173
140	3850.404511
141	3848.309623
142	3845.464035
143	3841.509485
144	3836.866556
145	3832.742718
146	3829.620269
147	3824.283583
148	3821.513515
149	3819.532367
150	3817.481887
151	3816.023188
152	3814.574949
153	3810.661199
154	3805.865801
155	3803.593652
156	3799.670228
157	3798.183819
158	3795.359123
159	3792.568547
160	3790.190988
161	3787.485918
162	3785.482909
163	3780.13039
164	3779.799122
165	3776.981436
166	3771.265558
167	3766.936669
168	3765.260807
169	3764.980547
170	3760.921485
171	3758.402346
172	3758.13446
173	3754.683137
174	3751.689903
175	3748.54876
176	3745.661208
177	3743.910486
178	3741.297242
179	3737.672291
180	3733.189977
181	3726.737191
182	3725.183949
183	3721.803745
184	3717.958786
185	3715.859315
186	3712.089826
187	3707.689912
188	3704.80001
189	3701.861798
190	3699.434758
191	3697.689421
192	3692.278082
193	3688.492807
194	3685.881634
195	3682.350045
196	3679.817605
197	3677.838683
198	3675.474813
199	3672.355372
200	3668.956487
201	3666.947708
202	3663.174339
203	3659.105108
204	3656.783926
205	3653.438723
206	3649.346445
207	3647.136468
208	3646.921866
209	3643.140919
210	3641.66657
211	3640.539352
212	3637.975021
213	3632.041478
214	3630.564818
215	3627.642961
216	3624.036691
217	3622.826677
218	3618.956473
219	3615.832529
220	3614.242414
221	3610.890031
222	3604.173608
223	3598.039594
224	3595.597507
225	3592.648419
226	3590.652323
227	3587.817172
228	3583.937445
229	3580.616098
230	3578.662578
231	3575.423654
232	3573.266407
233	3572.090173
234	3568.183105
235	3566.73429
236	3564.585633
237	3563.222253
238	3557.779604
239	3556.856688
240	3554.954091
241	3552.968228
242	3547.625765
243	3546.925059
244	3545.533888
245	3543.726568
246	3538.700699
247	3537.203276
248	3534.473891
249	3529.451935
250	3523.267478
251	3521.407441
252	3518.697479
253	3515.731701
254	3514.144769
255	3513.274727
256	3510.2565
257	3507.556099
258	3503.787679
259	3501.235544
260	3498.686909
261	3496.327562
262	3495.008354
263	3493.081329
264	3492.97716
265	3489.93735
266	3488.508507
267	3487.01253
268	3485.496389
269	3484.10649
270	3482.439058
271	3480.702283
272	3477.166259
273	3476.207381
274	3472.775569
275	3470.60716
276	3467.717799
277	3466.444044
278	3463.570061
279	3462.104276
280	3460.864458
281	3459.600184
282	3456.466454
283	3455.095529
284	3452.522819
285	3448.243522
286	3444.015678
287	3442.292871
288	3441.301934
289	3437.836562
290	3435.926081
291	3433.204111
292	3430.199958
293	3427.467579
294	3424.877546
295	3423.365167
296	3417.799223
297	3416.444033
298	3414.279243
299	3412.497521
300	3409.29862
301	3407.107822
302	3404.668573
303	3399.410862
304	3397.995913
305	3393.691166
306	3392.522015
307	3389.088092
308	3387.318575
309	3386.726843
310	3384.01863
311	3382.889743
312	3379.405314
313	3375.323301
314	3372.99097
315	3369.612056
316	3368.27232
317	3367.195179
318	3361.995211
319	3359.562807
320	3356.947204
321	3354.701955
322	3353.65948
323	3350.957091
324	3349.514802
325	3348.247286
326	3346.592731
327	3344.115464
328	3342.458465
329	3340.810251
330	3339.371431
331	3338.453023
332	3336.873907
333	3336.041378
334	3334.267944
335	3333.26776
336	3330.07871
337	3328.231003
338	3326.371868
339	3324.188757
340	3322.933137
341	3320.440503
342	3316.781807
343	3314.352293
344	3312.731054
345	3310.993821
346	3310.418296
347	3308.957996
348	3307.5659
349	3306.382685
350	3300.015555
351	3298.139025
352	3296.807667
353	3295.49686
354	3292.68625
355	3292.011714
356	3290.57156
357	3289.618292
358	3288.731607
359	3286.601691
360	3285.68238
361	3283.086777
362	3282.381395
363	3280.832587
364	3280.73607
365	3277.927275
366	3276.401955
367	3274.264711
368	3273.402937
369	3271.101385
370	3268.134308
371	3264.974394
372	3264.112145
373	3261.727174
374	3260.250508
375	3259.425107
376	3257.065684
377	3255.541503
378	3253.909234
379	3250.756149
380	3248.934611
381	3245.79213
382	3243.630299
383	3239.59493
384	3237.392474
385	3232.929554
386	3229.630083
387	3228.483859
388	3227.068832
389	3226.523486
390	3223.673311
391	3222.844227
392	3221.143999
393	3219.477069
394	3215.641476
395	3214.617762
396	3212.426652
397	3209.755868
398	3208.037784
399	3207.647947
400	3206.476044
401	3203.500933
402	3202.079567
403	3201.120109
404	3200.510204
405	3199.728088
406	3197.087269
407	3194.264373
408	3191.458322
409	3189.169432
410	3186.840778
411	3183.762018
412	3182.692202
413	3181.639037
414	3179.013684
415	3178.182293
416	3176.938341
417	3175.884347
418	3175.121445
419	3171.999055
420	3170.750237
421	3167.200713
422	3165.136867
423	3164.297677
424	3163.588454
425	3161.901165
426	3161.459998
427	3159.26457
428	3158.520362
429	3155.815736
430	3153.156877
431	3150.733689
432	3149.018748
433	3148.022539
434	3147.955769
435	3145.80667
436	3144.838451
437	3142.478422
438	3141.136657
439	3140.142545
440	3138.621026
441	3137.993344
442	3137.826796
443	3135.819941
444	3133.092142
445	3132.207266
446	3130.724346
447	3128.053782
448	3126.032319
449	3123.488596
450	3122.513991
451	3121.803179
452	3121.337415
453	3119.475013
454	3118.731728
455	3116.030385
456	3115.166868
457	3114.530329
458	3113.165248
459	3111.136519
460	3109.734387
461	3107.973331
462	3106.516558
463	3103.904739
464	3101.956298
465	3101.092605
466	3099.637989
467	3096.458035
468	3094.852586
469	3092.337502
470	3091.494419
471	3089.012283
472	3087.203623
473	3085.880528
474	3085.182033
475	3083.467836
476	3080.597567
477	3079.18536
478	3077.24526
479	3075.61303
480	3073.201501
481	3071.095484
482	3070.632735
483	3068.19277
484	3066.736773
485	3066.068365
486	3064.487015
487	3061.231968
488	3060.472625
489	3058.137454
490	3055.954029
491	3053.884922
492	3052.969379
493	3051.611662
494	3049.347944
495	3048.611257
496	3046.760863
497	3044.836117
498	3043.262641
499	3041.700598
500	3039.586051
501	3036.886618
502	3034.839355
503	3033.333455
504	3030.772212
505	3029.382357
506	3028.119279
507	3026.857289
508	3025.161256
509	3024.209076
510	3022.611286
511	3021.650279
512	3018.306452
513	3016.730227
514	3016.050635
515	3014.390491
516	3013.160401
517	3012.644623
518	3010.86725
519	3009.454313
520	3005.71362
521	3004.652572
522	3001.343341
523	3000.067882
524	2998.937139
525	2995.813575
526	2994.849595
527	2994.119167
528	2991.836083
529	2988.896576
530	2987.373499
531	2985.413923
532	2984.066059
533	2981.745804
534	2978.888829
535	2976.529589
536	2974.354473
537	2973.663105
538	2971.981614
539	2969.621963
540	2968.001948
541	2967.341951
542	2965.416918
543	2964.809409
544	2963.817046
545	2962.09993
546	2960.165901
547	2958.978057
548	2957.20037
549	2956.568076
550	2954.591082
551	2953.209395
552	2952.359203
553	2950.564117
554	2949.829487
555	2948.837128
556	2947.051674
557	2945.547284
558	2943.241596
559	2942.786137
560	2941.476315
561	2939.624408
562	2937.520827
563	2936.976609
564	2935.529469
565	2934.099739
566	2932.504615
567	2929.814283
568	2928.777739
569	2927.798526
570	2926.789334
571	2925.146492
572	2923.851717
573	2922.524049
574	2919.896359
575	2918.667533
576	2917.039143
577	2916.139131
578	2914.592644
579	2912.455773
580	2910.234886
581	2908.163396
582	2906.648512
583	2902.817884
584	2901.070612
585	2899.689722
586	2898.930902
587	2896.20753
588	2893.946894
589	2890.634319
590	2889.251723
591	2888.721542
592	2886.909268
593	2885.361637
594	2884.226407
595	2882.962208
596	2881.03231
597	2880.405093
598	2879.553151
599	2878.511972
600	2877.238231
601	2875.960353
602	2874.103992
603	2873.301842
604	2871.22622
605	2869.786756
606	2867.676058
607	2866.260701
608	2862.688412
609	2860.72708
610	2859.306882
611	2857.189254
