iter	Passed	Remaining
0	151	151524
1	154	76867
2	157	52293
3	160	40004
4	164	32681
5	167	27791
6	171	24290
7	174	21632
8	178	19604
9	180	17831
10	183	16501
11	187	15453
12	191	14560
13	195	13796
14	198	13048
15	201	12410
16	205	11856
17	208	11372
18	212	10946
19	215	10556
20	218	10166
21	222	9871
22	225	9574
23	228	9302
24	232	9056
25	235	8838
26	239	8629
27	243	8452
28	247	8283
29	251	8134
30	255	7980
31	257	7792
32	261	7654
33	265	7532
34	268	7395
35	271	7281
36	275	7170
37	279	7065
38	282	6967
39	285	6843
40	289	6760
41	291	6649
42	295	6585
43	299	6511
44	303	6441
45	307	6374
46	311	6313
47	314	6242
48	318	6177
49	321	6110
50	325	6057
51	329	6000
52	332	5948
53	336	5899
54	340	5850
55	344	5801
56	348	5758
57	351	5707
58	353	5642
59	358	5612
60	361	5570
61	365	5530
62	369	5491
63	373	5457
64	376	5415
65	380	5380
66	382	5328
67	386	5294
68	389	5258
69	393	5222
70	396	5188
71	400	5156
72	404	5133
73	408	5108
74	409	5054
75	413	5027
76	417	5005
77	421	4981
78	425	4955
79	428	4926
80	432	4904
81	435	4879
82	439	4852
83	442	4828
84	446	4802
85	449	4777
86	452	4751
87	456	4729
88	459	4706
89	463	4685
90	467	4667
91	470	4646
92	474	4630
93	478	4613
94	481	4591
95	485	4571
96	488	4551
97	492	4531
98	496	4515
99	499	4494
100	503	4478
101	506	4462
102	510	4444
103	513	4424
104	516	4406
105	520	4386
106	523	4367
107	527	4354
108	530	4336
109	533	4317
110	536	4298
111	540	4281
112	543	4265
113	546	4248
114	549	4231
115	553	4218
116	557	4208
117	561	4193
118	564	4177
119	566	4156
120	570	4140
121	574	4132
122	577	4116
123	579	4092
124	582	4078
125	585	4064
126	589	4050
127	592	4035
128	595	4021
129	598	4006
130	602	3996
131	605	3984
132	609	3970
133	612	3961
134	616	3949
135	619	3937
136	623	3925
137	626	3913
138	629	3899
139	633	3891
140	637	3881
141	640	3872
142	644	3859
143	647	3850
144	651	3842
145	655	3831
146	658	3818
147	661	3807
148	665	3801
149	669	3794
150	673	3785
151	676	3774
152	680	3767
153	684	3758
154	687	3749
155	690	3737
156	694	3729
157	697	3718
158	701	3707
159	703	3695
160	707	3685
161	711	3678
162	714	3666
163	717	3656
164	718	3637
165	721	3626
166	725	3619
167	729	3611
168	732	3601
169	734	3585
170	737	3575
171	740	3565
172	742	3548
173	745	3538
174	748	3528
175	751	3519
176	754	3509
177	757	3499
178	761	3494
179	764	3484
180	768	3475
181	771	3467
182	775	3460
183	778	3450
184	781	3441
185	784	3432
186	787	3425
187	791	3418
188	794	3410
189	798	3403
190	801	3395
191	804	3385
192	807	3376
193	810	3368
194	813	3359
195	817	3353
196	820	3344
197	823	3335
198	826	3327
199	830	3320
200	833	3313
201	836	3305
202	840	3299
203	843	3291
204	847	3285
205	850	3278
206	853	3269
207	856	3261
208	858	3247
209	861	3240
210	864	3233
211	867	3225
212	870	3218
213	874	3210
214	877	3205
215	880	3197
216	884	3190
217	887	3182
218	890	3174
219	894	3170
220	897	3163
221	900	3155
222	903	3149
223	907	3143
224	910	3136
225	913	3129
226	916	3122
227	919	3114
228	923	3110
229	927	3105
230	931	3099
231	934	3092
232	937	3085
233	941	3080
234	944	3075
235	948	3068
236	951	3061
237	954	3055
238	957	3049
239	960	3042
240	964	3036
241	967	3029
242	970	3024
243	974	3020
244	978	3014
245	981	3008
246	985	3002
247	988	2997
248	991	2991
249	995	2985
250	998	2980
251	1002	2974
252	1005	2970
253	1010	2966
254	1014	2962
255	1018	2959
256	1022	2955
257	1026	2953
258	1030	2948
259	1034	2943
260	1037	2938
261	1041	2933
262	1045	2928
263	1049	2925
264	1051	2917
265	1055	2911
266	1058	2906
267	1061	2900
268	1065	2894
269	1068	2888
270	1071	2883
271	1075	2877
272	1078	2872
273	1082	2867
274	1085	2863
275	1090	2859
276	1093	2854
277	1097	2849
278	1100	2844
279	1103	2838
280	1107	2832
281	1110	2827
282	1113	2821
283	1117	2816
284	1121	2812
285	1125	2809
286	1129	2805
287	1133	2802
288	1137	2797
289	1141	2793
290	1144	2788
291	1147	2783
292	1151	2777
293	1156	2778
294	1161	2775
295	1164	2769
296	1167	2764
297	1172	2761
298	1175	2755
299	1178	2750
300	1182	2745
301	1185	2740
302	1189	2735
303	1192	2730
304	1196	2726
305	1200	2722
306	1203	2717
307	1206	2711
308	1210	2706
309	1213	2700
310	1217	2698
311	1222	2695
312	1226	2691
313	1230	2687
314	1234	2684
315	1237	2679
316	1241	2674
317	1244	2668
318	1248	2664
319	1251	2658
320	1254	2653
321	1257	2648
322	1260	2642
323	1264	2637
324	1267	2632
325	1270	2626
326	1273	2620
327	1276	2615
328	1279	2610
329	1283	2606
330	1287	2602
331	1290	2596
332	1294	2592
333	1298	2588
334	1301	2582
335	1304	2577
336	1307	2572
337	1311	2568
338	1315	2564
339	1318	2560
340	1322	2556
341	1326	2552
342	1330	2548
343	1333	2543
344	1336	2537
345	1340	2533
346	1343	2528
347	1347	2523
348	1350	2518
349	1353	2513
350	1357	2509
351	1360	2504
352	1363	2499
353	1366	2494
354	1370	2490
355	1373	2485
356	1377	2480
357	1380	2475
358	1383	2469
359	1386	2465
360	1389	2460
361	1393	2455
362	1396	2450
363	1399	2445
364	1402	2439
365	1406	2435
366	1409	2430
367	1412	2426
368	1416	2422
369	1419	2417
370	1423	2413
